"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
24,5,"10","28","53",-21,0,NA,NA,NA,NA,NA,0
24,5,"10","53","28",-11,0,NA,NA,NA,NA,NA,0
24,5,"10","53","68",25,1,0,0,16,0,9,0
24,5,"10","28","53",-34,0,NA,NA,NA,NA,NA,0
24,5,"10","53","28",11,0,NA,NA,NA,NA,NA,0
24,5,"10","28","53",15,1,15,0,0,0,0,0
28,2,"10","67","53",21,1,0,0,21,0,0,0
28,2,"10","67","14",47,1,0,0,0,0,47,0
25,6,"10","67","3",-10,0,NA,NA,NA,NA,NA,0
25,6,"10","28","53",-4,0,NA,NA,NA,NA,NA,0
25,6,"10","53","28",-30,0,NA,NA,NA,NA,NA,0
25,6,"10","28","53",-21,0,NA,NA,NA,NA,NA,0
25,6,"10","53","28",5,0,NA,NA,NA,NA,NA,0
25,6,"10","28","53",-3,0,NA,NA,NA,NA,NA,0
25,6,"10","53","68",-13,0,NA,NA,NA,NA,NA,0
25,6,"10","67","3",3,0,NA,NA,NA,NA,NA,0
25,6,"10","14","68",-26,0,NA,NA,NA,NA,NA,0
25,6,"10","80","68",-24,0,NA,NA,NA,NA,NA,0
25,6,"10","53","68",-23,0,NA,NA,NA,NA,NA,0
25,6,"10","53","28",-19,0,NA,NA,NA,NA,NA,0
25,6,"10","14","68",-7,0,NA,NA,NA,NA,NA,0
25,6,"10","28","53",-28,0,NA,NA,NA,NA,NA,0
25,6,"10","53","68",-5,0,NA,NA,NA,NA,NA,0
25,6,"10","67","14",-11,0,NA,NA,NA,NA,NA,0
25,6,"10","53","43",-19,0,NA,NA,NA,NA,NA,0
25,6,"10","67","81",-23,0,NA,NA,NA,NA,NA,0
25,6,"10","3","68",-29,0,NA,NA,NA,NA,NA,0
25,6,"10","67","53",-21,0,NA,NA,NA,NA,NA,0
25,6,"10","53","28",-32,0,NA,NA,NA,NA,NA,0
25,6,"10","53","28",-29,0,NA,NA,NA,NA,NA,0
25,6,"10","53","68",-2,0,NA,NA,NA,NA,NA,0
25,6,"10","53","68",-35,0,NA,NA,NA,NA,NA,0
25,6,"10","80","68",-8,0,NA,NA,NA,NA,NA,0
25,6,"10","67","53",-17,0,NA,NA,NA,NA,NA,0
25,6,"10","67","14",97,1,91,0,0,0,6,0
25,6,"10","3","68",-14,0,NA,NA,NA,NA,NA,0
25,6,"10","67","53",-15,0,NA,NA,NA,NA,NA,0
25,6,"10","53","43",-11,0,NA,NA,NA,NA,NA,0
23,4,"10","67","53",-15,0,NA,NA,NA,NA,NA,0
23,4,"10","67","3",-12,0,NA,NA,NA,NA,NA,0
23,4,"10","28","53",181,1,0,0,181,0,0,0
23,4,"10","53","28",11,0,NA,NA,NA,NA,NA,0
23,4,"10","53","68",60,1,0,0,60,0,0,0
23,4,"10","28","53",54,1,7,0,47,0,0,0
23,4,"10","53","28",67,1,12,0,0,0,55,0
23,4,"10","28","53",3,0,NA,NA,NA,NA,NA,0
23,4,"10","53","68",-7,0,NA,NA,NA,NA,NA,0
23,4,"10","43","53",10,0,NA,NA,NA,NA,NA,0
23,4,"10","14","68",-9,0,NA,NA,NA,NA,NA,0
23,4,"10","53","28",190,1,0,0,59,0,131,0
23,4,"10","67","53",-16,0,NA,NA,NA,NA,NA,0
23,4,"10","80","68",-8,0,NA,NA,NA,NA,NA,0
23,4,"10","53","68",NA,NA,NA,NA,NA,NA,NA,0
23,4,"10","28","53",142,1,0,0,72,0,70,0
23,4,"10","53","28",-4,0,NA,NA,NA,NA,NA,0
23,4,"10","14","68",-21,0,NA,NA,NA,NA,NA,0
23,4,"10","28","53",339,1,88,0,0,0,251,0
23,4,"10","67","3",-16,0,NA,NA,NA,NA,NA,0
23,4,"10","53","68",66,1,0,0,14,0,52,0
23,4,"10","53","68",-23,0,NA,NA,NA,NA,NA,0
23,4,"10","67","14",2,0,NA,NA,NA,NA,NA,0
23,4,"10","53","43",-13,0,NA,NA,NA,NA,NA,0
23,4,"10","67","53",88,1,26,0,54,0,8,0
23,4,"10","67","81",5,0,NA,NA,NA,NA,NA,0
23,4,"10","67","53",59,1,0,0,19,0,40,0
23,4,"10","3","68",-21,0,NA,NA,NA,NA,NA,0
23,4,"10","53","68",54,1,0,0,15,0,39,0
