"DAY_OF_MONTH","DAY_OF_WEEK","CARRIER","ORIGIN","DEST","ARR_DELAY","ARR_DEL15","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
22,3,"EV","SAV","LGA",-2,0,NA,NA,NA,NA,NA,0
25,6,"EV","SAV","LGA",24,1,0,0,24,0,0,0
24,5,"EV","SAV","LGA",-24,0,NA,NA,NA,NA,NA,0
23,4,"EV","SAV","LGA",75,1,0,0,75,0,0,0
15,3,"EV","SAV","LGA",195,1,195,0,0,0,0,0
27,1,"EV","SAV","LGA",32,1,32,0,0,0,0,0
21,2,"EV","SAV","LGA",-7,0,NA,NA,NA,NA,NA,0
13,1,"EV","SAV","LGA",2,0,NA,NA,NA,NA,NA,0
7,2,"EV","DTW","ELM",99,1,80,0,0,0,19,0
16,4,"EV","DTW","ELM",87,1,24,0,0,0,63,0
3,5,"EV","DTW","ELM",-13,0,NA,NA,NA,NA,NA,0
26,7,"EV","DTW","ELM",91,1,90,0,0,0,1,0
19,7,"EV","DTW","ELM",37,1,37,0,0,0,0,0
20,1,"EV","DTW","ELM",NA,NA,NA,NA,NA,NA,NA,1
29,3,"EV","DTW","ELM",-1,0,NA,NA,NA,NA,NA,0
17,5,"EV","DTW","ELM",-12,0,NA,NA,NA,NA,NA,0
18,6,"EV","DTW","ELM",-12,0,NA,NA,NA,NA,NA,0
27,1,"EV","DTW","ELM",-15,0,NA,NA,NA,NA,NA,0
14,2,"EV","DTW","ELM",-15,0,NA,NA,NA,NA,NA,0
8,3,"EV","DTW","ELM",-1,0,NA,NA,NA,NA,NA,0
30,4,"EV","DTW","ELM",-6,0,NA,NA,NA,NA,NA,0
22,3,"EV","DTW","ELM",-11,0,NA,NA,NA,NA,NA,0
24,5,"EV","DTW","ELM",-12,0,NA,NA,NA,NA,NA,0
25,6,"EV","DTW","ELM",11,0,NA,NA,NA,NA,NA,0
9,4,"EV","DTW","ELM",15,1,15,0,0,0,0,0
28,2,"EV","DTW","ELM",39,1,6,0,0,0,33,0
5,7,"EV","DTW","ELM",-3,0,NA,NA,NA,NA,NA,0
4,6,"EV","DTW","ELM",-12,0,NA,NA,NA,NA,NA,0
1,3,"EV","DTW","ELM",-12,0,NA,NA,NA,NA,NA,0
2,4,"EV","DTW","ELM",-6,0,NA,NA,NA,NA,NA,0
12,7,"EV","DTW","ELM",-13,0,NA,NA,NA,NA,NA,0
13,1,"EV","DTW","ELM",-5,0,NA,NA,NA,NA,NA,0
15,3,"EV","DTW","ELM",-10,0,NA,NA,NA,NA,NA,0
10,5,"EV","DTW","ELM",-7,0,NA,NA,NA,NA,NA,0
6,1,"EV","DTW","ELM",-6,0,NA,NA,NA,NA,NA,0
23,4,"EV","DTW","ELM",-21,0,NA,NA,NA,NA,NA,0
21,2,"EV","DTW","ELM",15,1,0,0,15,0,0,0
7,2,"EV","ELM","DTW",60,1,0,0,0,0,60,0
23,4,"EV","ELM","DTW",-27,0,NA,NA,NA,NA,NA,0
29,3,"EV","ELM","DTW",-11,0,NA,NA,NA,NA,NA,0
17,5,"EV","ELM","DTW",-8,0,NA,NA,NA,NA,NA,0
14,2,"EV","ELM","DTW",-12,0,NA,NA,NA,NA,NA,0
18,6,"EV","ELM","DTW",-24,0,NA,NA,NA,NA,NA,0
27,1,"EV","ELM","DTW",-17,0,NA,NA,NA,NA,NA,0
25,6,"EV","ELM","DTW",-17,0,NA,NA,NA,NA,NA,0
30,4,"EV","ELM","DTW",-12,0,NA,NA,NA,NA,NA,0
22,3,"EV","ELM","DTW",9,0,NA,NA,NA,NA,NA,0
8,3,"EV","ELM","DTW",-9,0,NA,NA,NA,NA,NA,0
