"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
9,"AA",171,"JFK","LAX",0
10,"AA",171,"JFK","LAX",0
12,"AA",171,"JFK","LAX",1
13,"AA",171,"JFK","LAX",1
14,"AA",171,"JFK","LAX",1
15,"AA",171,"JFK","LAX",0
16,"AA",171,"JFK","LAX",0
17,"AA",171,"JFK","LAX",0
19,"AA",171,"JFK","LAX",0
20,"AA",171,"JFK","LAX",0
21,"AA",171,"JFK","LAX",0
22,"AA",171,"JFK","LAX",0
23,"AA",171,"JFK","LAX",1
24,"AA",171,"JFK","LAX",1
26,"AA",171,"JFK","LAX",0
27,"AA",171,"JFK","LAX",0
28,"AA",171,"JFK","LAX",0
29,"AA",171,"JFK","LAX",0
30,"AA",171,"JFK","LAX",0
1,"AA",172,"LAX","JFK",0
2,"AA",172,"LAX","JFK",0
3,"AA",172,"LAX","JFK",1
5,"AA",172,"LAX","JFK",1
6,"AA",172,"LAX","JFK",0
7,"AA",172,"LAX","JFK",1
8,"AA",172,"LAX","JFK",1
9,"AA",172,"LAX","JFK",0
10,"AA",172,"LAX","JFK",0
12,"AA",172,"LAX","JFK",0
13,"AA",172,"LAX","JFK",1
14,"AA",172,"LAX","JFK",0
15,"AA",172,"LAX","JFK",0
16,"AA",172,"LAX","JFK",1
17,"AA",172,"LAX","JFK",0
19,"AA",172,"LAX","JFK",1
20,"AA",172,"LAX","JFK",0
21,"AA",172,"LAX","JFK",0
22,"AA",172,"LAX","JFK",0
23,"AA",172,"LAX","JFK",0
24,"AA",172,"LAX","JFK",0
26,"AA",172,"LAX","JFK",1
27,"AA",172,"LAX","JFK",0
28,"AA",172,"LAX","JFK",1
29,"AA",172,"LAX","JFK",1
30,"AA",172,"LAX","JFK",0
1,"AA",177,"JFK","SFO",0
2,"AA",177,"JFK","SFO",1
3,"AA",177,"JFK","SFO",0
4,"AA",177,"JFK","SFO",1
5,"AA",177,"JFK","SFO",1
8,"AA",177,"JFK","SFO",0
9,"AA",177,"JFK","SFO",0
10,"AA",177,"JFK","SFO",1
11,"AA",177,"JFK","SFO",0
12,"AA",177,"JFK","SFO",0
15,"AA",177,"JFK","SFO",1
16,"AA",177,"JFK","SFO",0
17,"AA",177,"JFK","SFO",1
18,"AA",177,"JFK","SFO",0
19,"AA",177,"JFK","SFO",0
22,"AA",177,"JFK","SFO",1
23,"AA",177,"JFK","SFO",1
24,"AA",177,"JFK","SFO",0
25,"AA",177,"JFK","SFO",0
26,"AA",177,"JFK","SFO",1
29,"AA",177,"JFK","SFO",1
30,"AA",177,"JFK","SFO",1
1,"AA",179,"JFK","SFO",0
2,"AA",179,"JFK","SFO",0
4,"AA",179,"JFK","SFO",0
5,"AA",179,"JFK","SFO",0
6,"AA",179,"JFK","SFO",0
7,"AA",179,"JFK","SFO",0
8,"AA",179,"JFK","SFO",0
