"DAY_OF_MONTH","CARRIER","FL_NUM","ORIGIN","DEST","ARR_DEL15"
5,"1",32,"51","49",0
6,"1",32,"51","49",1
7,"1",32,"51","49",0
8,"1",32,"51","49",1
9,"1",32,"51","49",1
10,"1",32,"51","49",0
11,"1",32,"51","49",0
12,"1",32,"51","49",0
13,"1",32,"51","49",1
14,"1",32,"51","49",1
15,"1",32,"51","49",1
16,"1",32,"51","49",0
17,"1",32,"51","49",0
18,"1",32,"51","49",0
19,"1",32,"51","49",0
20,"1",32,"51","49",1
21,"1",32,"51","49",0
22,"1",32,"51","49",0
23,"1",32,"51","49",0
24,"1",32,"51","49",0
25,"1",32,"51","49",0
26,"1",32,"51","49",0
27,"1",32,"51","49",0
28,"1",32,"51","49",0
29,"1",32,"51","49",0
30,"1",32,"51","49",0
1,"1",33,"49","51",0
2,"1",33,"49","51",0
3,"1",33,"49","51",0
5,"1",33,"49","51",0
6,"1",33,"49","51",1
7,"1",33,"49","51",0
8,"1",33,"49","51",0
9,"1",33,"49","51",0
10,"1",33,"49","51",0
12,"1",33,"49","51",1
13,"1",33,"49","51",1
14,"1",33,"49","51",0
15,"1",33,"49","51",0
16,"1",33,"49","51",0
17,"1",33,"49","51",0
19,"1",33,"49","51",0
20,"1",33,"49","51",0
21,"1",33,"49","51",0
22,"1",33,"49","51",0
23,"1",33,"49","51",1
24,"1",33,"49","51",0
26,"1",33,"49","51",0
27,"1",33,"49","51",0
28,"1",33,"49","51",1
29,"1",33,"49","51",0
30,"1",33,"49","51",0
1,"1",34,"51","49",1
2,"1",34,"51","49",0
3,"1",34,"51","49",0
4,"1",34,"51","49",1
5,"1",34,"51","49",1
6,"1",34,"51","49",0
7,"1",34,"51","49",0
8,"1",34,"51","49",1
9,"1",34,"51","49",1
10,"1",34,"51","49",0
11,"1",34,"51","49",0
12,"1",34,"51","49",0
13,"1",34,"51","49",0
14,"1",34,"51","49",0
15,"1",34,"51","49",0
16,"1",34,"51","49",1
17,"1",34,"51","49",0
18,"1",34,"51","49",0
19,"1",34,"51","49",0
20,"1",34,"51","49",0
21,"1",34,"51","49",0
22,"1",34,"51","49",0
23,"1",34,"51","49",1
24,"1",34,"51","49",0
25,"1",34,"51","49",0
26,"1",34,"51","49",0
27,"1",34,"51","49",0
28,"1",34,"51","49",1
29,"1",34,"51","49",0
30,"1",34,"51","49",0
1,"1",164,"87","49",0
2,"1",164,"87","49",1
3,"1",164,"87","49",0
5,"1",164,"87","49",1
6,"1",164,"87","49",0
7,"1",164,"87","49",1
8,"1",164,"87","49",0
9,"1",164,"87","49",0
10,"1",164,"87","49",1
12,"1",164,"87","49",0
13,"1",164,"87","49",0
14,"1",164,"87","49",0
15,"1",164,"87","49",0
16,"1",164,"87","49",0
17,"1",164,"87","49",0
19,"1",164,"87","49",0
20,"1",164,"87","49",0
21,"1",164,"87","49",1
22,"1",164,"87","49",1
23,"1",164,"87","49",1
24,"1",164,"87","49",0
26,"1",164,"87","49",0
27,"1",164,"87","49",0
28,"1",164,"87","49",1
29,"1",164,"87","49",0
30,"1",164,"87","49",0
1,"1",171,"49","51",0
2,"1",171,"49","51",0
3,"1",171,"49","51",0
5,"1",171,"49","51",0
6,"1",171,"49","51",1
7,"1",171,"49","51",1
8,"1",171,"49","51",0
9,"1",171,"49","51",0
10,"1",171,"49","51",0
12,"1",171,"49","51",1
13,"1",171,"49","51",1
14,"1",171,"49","51",1
15,"1",171,"49","51",0
16,"1",171,"49","51",0
17,"1",171,"49","51",0
19,"1",171,"49","51",0
20,"1",171,"49","51",0
21,"1",171,"49","51",0
22,"1",171,"49","51",0
23,"1",171,"49","51",1
24,"1",171,"49","51",1
26,"1",171,"49","51",0
27,"1",171,"49","51",0
28,"1",171,"49","51",0
29,"1",171,"49","51",0
30,"1",171,"49","51",0
1,"1",172,"51","49",0
2,"1",172,"51","49",0
3,"1",172,"51","49",1
5,"1",172,"51","49",1
6,"1",172,"51","49",0
7,"1",172,"51","49",1
8,"1",172,"51","49",1
9,"1",172,"51","49",0
10,"1",172,"51","49",0
12,"1",172,"51","49",0
13,"1",172,"51","49",1
14,"1",172,"51","49",0
15,"1",172,"51","49",0
16,"1",172,"51","49",1
17,"1",172,"51","49",0
19,"1",172,"51","49",1
20,"1",172,"51","49",0
21,"1",172,"51","49",0
22,"1",172,"51","49",0
23,"1",172,"51","49",0
24,"1",172,"51","49",0
26,"1",172,"51","49",1
27,"1",172,"51","49",0
28,"1",172,"51","49",1
29,"1",172,"51","49",1
30,"1",172,"51","49",0
1,"1",177,"49","88",0
2,"1",177,"49","88",1
3,"1",177,"49","88",0
4,"1",177,"49","88",1
5,"1",177,"49","88",1
8,"1",177,"49","88",0
9,"1",177,"49","88",0
10,"1",177,"49","88",1
11,"1",177,"49","88",0
12,"1",177,"49","88",0
15,"1",177,"49","88",1
16,"1",177,"49","88",0
17,"1",177,"49","88",1
18,"1",177,"49","88",0
19,"1",177,"49","88",0
22,"1",177,"49","88",1
23,"1",177,"49","88",1
24,"1",177,"49","88",0
25,"1",177,"49","88",0
26,"1",177,"49","88",1
29,"1",177,"49","88",1
30,"1",177,"49","88",1
1,"1",179,"49","88",0
2,"1",179,"49","88",0
4,"1",179,"49","88",0
5,"1",179,"49","88",0
6,"1",179,"49","88",0
7,"1",179,"49","88",0
8,"1",179,"49","88",0
9,"1",179,"49","88",1
11,"1",179,"49","88",0
12,"1",179,"49","88",0
13,"1",179,"49","88",0
