"DAY_OF_MONTH","CARRIER","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","ARR_DELAY","ARR_DEL15","CANCELLED","DIVERTED","FLIGHTS","FL_NUM","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","DIV_AIRPORT_LANDINGS"
3,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",25,1,0,0,1,134,25,0,0,0,0,0
4,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-1,0,0,0,1,134,NA,NA,NA,NA,NA,0
5,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",14,0,0,0,1,134,NA,NA,NA,NA,NA,0
6,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-12,0,0,0,1,134,NA,NA,NA,NA,NA,0
7,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-1,0,0,0,1,134,NA,NA,NA,NA,NA,0
8,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-7,0,0,0,1,134,NA,NA,NA,NA,NA,0
9,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-5,0,0,0,1,134,NA,NA,NA,NA,NA,0
10,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-2,0,0,0,1,134,NA,NA,NA,NA,NA,0
11,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",8,0,0,0,1,134,NA,NA,NA,NA,NA,0
12,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",6,0,0,0,1,134,NA,NA,NA,NA,NA,0
13,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",5,0,0,0,1,134,NA,NA,NA,NA,NA,0
14,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",39,1,0,0,1,134,0,0,10,0,29,0
15,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",30,1,0,0,1,134,11,0,19,0,0,0
16,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",22,1,0,0,1,134,4,0,18,0,0,0
17,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-1,0,0,0,1,134,NA,NA,NA,NA,NA,0
18,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",51,1,0,0,1,134,51,0,0,0,0,0
19,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-23,0,0,0,1,134,NA,NA,NA,NA,NA,0
20,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",12,0,0,0,1,134,NA,NA,NA,NA,NA,0
21,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",12,0,0,0,1,134,NA,NA,NA,NA,NA,0
22,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-39,0,0,0,1,134,NA,NA,NA,NA,NA,0
23,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-36,0,0,0,1,134,NA,NA,NA,NA,NA,0
24,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",-1,0,0,0,1,134,NA,NA,NA,NA,NA,0
25,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",1,0,0,0,1,134,NA,NA,NA,NA,NA,0
26,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",4,0,0,0,1,134,NA,NA,NA,NA,NA,0
27,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",17,1,0,0,1,134,16,0,0,0,1,0
28,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",40,1,0,0,1,134,3,0,0,0,37,0
29,"AA",13303,1330303,32467,"MIA",14747,1474703,30559,"SEA",2,0,0,0,1,134,NA,NA,NA,NA,NA,0
1,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-8,0,0,0,1,143,NA,NA,NA,NA,NA,0
2,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",3,0,0,0,1,143,NA,NA,NA,NA,NA,0
3,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-24,0,0,0,1,143,NA,NA,NA,NA,NA,0
4,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",10,0,0,0,1,143,NA,NA,NA,NA,NA,0
5,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-2,0,0,0,1,143,NA,NA,NA,NA,NA,0
6,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-8,0,0,0,1,143,NA,NA,NA,NA,NA,0
7,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-22,0,0,0,1,143,NA,NA,NA,NA,NA,0
8,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-15,0,0,0,1,143,NA,NA,NA,NA,NA,0
9,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",0,0,0,0,1,143,NA,NA,NA,NA,NA,0
10,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-4,0,0,0,1,143,NA,NA,NA,NA,NA,0
11,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-10,0,0,0,1,143,NA,NA,NA,NA,NA,0
12,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",15,1,0,0,1,143,15,0,0,0,0,0
13,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-16,0,0,0,1,143,NA,NA,NA,NA,NA,0
14,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-19,0,0,0,1,143,NA,NA,NA,NA,NA,0
15,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-29,0,0,0,1,143,NA,NA,NA,NA,NA,0
16,"AA",14747,1474703,30559,"SEA",11298,1129804,30194,"DFW",-3,0,0,0,1,143,NA,NA,NA,NA,NA,0
